START DATE,END DATE,SUBJECT,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),SHOW TIME AS,DESCRIPTION,,,,AWAY,HOM E
4/14/2013,4/14/2013,NBA: Mavericks @ Hornets     [NBATV],3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Mavericks @ Hornets,Dallas at New Orleans,[NBATV],Mavericks , Hornets
11/4/2012,11/4/2012,NBA: Timberwolves @ Raptors     [NBATV],3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Timberwolves @ Raptors,Minnesota at Toronto,[NBATV],Timberwolves , Raptors
3/10/2013,3/10/2013,NBA: 76ers @ Magic     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,76ers @ Magic,Philadelphia at Orlando,,76ers , Magic
3/3/2013,3/3/2013,NBA: 76ers @ Wizards     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,76ers @ Wizards,Philadelphia at Washington,,76ers , Wizards
3/3/2013,3/3/2013,NBA: Bobcats @ Kings     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Bobcats @ Kings,Charlotte at Sacramento,,Bobcats , Kings
3/24/2013,3/24/2013,NBA: Bobcats @ Heat     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Bobcats @ Heat,Charlotte at Miami,,Bobcats , Heat
11/18/2012,11/18/2012,NBA: Nets @ Kings     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Nets @ Kings,Brooklyn at Sacramento,,Nets , Kings
12/9/2012,12/9/2012,NBA: Bucks @ Nets     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Bucks @ Nets,Milwaukee at Brooklyn,,Bucks , Nets
3/31/2013,3/31/2013,NBA: Cavaliers @ Hornets     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Cavaliers @ Hornets,Cleveland at New Orleans,,Cavaliers , Hornets
2/24/2013,2/24/2013,NBA: Cavaliers @ Heat     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Cavaliers @ Heat,Cleveland at Miami,,Cavaliers , Heat
